"Date","Price","Open","High","Low","Vol.","Change %"
"2024-04-12","5.1585","5.1854","5.1866","5.1570","","-0.52%"
"2024-04-11","5.1854","5.1980","5.1980","5.1723","","-1.91%"
"2024-04-10","5.2865","5.3288","5.3359","5.2790","","-0.79%"
"2024-04-09","5.3287","5.3278","5.3382","5.3172","","0.03%"
"2024-04-08","5.3272","5.3229","5.3298","5.3118","","0.10%"
"2024-04-05","5.3219","5.3414","5.3427","5.2998","","-0.34%"
"2024-04-04","5.3400","5.3477","5.3675","5.3342","","-0.11%"
"2024-04-03","5.3459","5.3309","5.3544","5.3243","","0.30%"
"2024-04-02","5.3298","5.3285","5.3382","5.3241","","0.05%"
"2024-04-01","5.3271","5.3313","5.3467","5.3215","","-0.08%"
"2024-03-29","5.3314","5.3371","5.3411","5.3257","","-0.09%"
"2024-03-28","5.3361","5.3267","5.3439","5.3101","","0.18%"
"2024-03-27","5.3265","5.3136","5.3282","5.3086","","0.26%"
"2024-03-26","5.3125","5.3078","5.3268","5.3067","","0.12%"
"2024-03-25","5.3059","5.3140","5.3168","5.2919","","-0.11%"
"2024-03-22","5.3118","5.3203","5.3322","5.3097","","-0.15%"
"2024-03-21","5.3198","5.3360","5.3506","5.3160","","-0.29%"
"2024-03-20","5.3351","5.3067","5.3404","5.2909","","0.54%"
"2024-03-19","5.3063","5.3194","5.3200","5.2877","","-0.22%"
"2024-03-18","5.3181","5.3148","5.3242","5.3099","","0.10%"
"2024-03-15","5.3130","5.3159","5.3268","5.3094","","-0.04%"
"2024-03-14","5.3149","5.3350","5.3422","5.3120","","-0.37%"
"2024-03-13","5.3349","5.3228","5.3426","5.3202","","0.25%"
"2024-03-12","5.3217","5.3271","5.3306","5.3082","","-0.08%"
